method,accuracy,sensitivity,specificity
none,0.7666666666666667,0.5869565217391305,0.8783783783783784
infomax,0.675,0.43478260869565216,0.8243243243243243
fastica,0.6833333333333333,0.43478260869565216,0.8378378378378378
picard,0.6916666666666667,0.4782608695652174,0.8243243243243243
