method,accuracy,sensitivity,specificity
none,0.5283018867924528,0.5416666666666666,0.5172413793103449
infomax,0.5283018867924528,0.5416666666666666,0.5172413793103449
fastica,0.5660377358490566,0.5833333333333334,0.5517241379310345
picard,0.5660377358490566,0.625,0.5172413793103449
